symbol,date,label,US_Score,Total_Trend,RSI,STOCH_K,CCI,CMO,COPP,PPO,MACD,EMA_20,KAMA_10,SMA_20,SMA_50,VAMA_20,TRIMA_20,ICHIMOKU_conv,ICHIMOKU_base,ICHIMOKU_span_a,ICHIMOKU_span_b,BB_upper,OBV,MFI_14
MMM,2023-12-29,0,0,0.8924639345169975,68.81727364932492,91.78608949571269,56.77236237891432,37.63454729864983,10.382754692551682,3.075926748221362,2.5254893193798438,83.125742364134,85.01349150673816,83.35413246154785,77.0645280456543,83.3675530451543,79.2801032447815,84.79010253825835,81.22098772923462,83.0055451337465,77.01646594340902,87.64152794306054,121734637.0,59.00441310026919
AOS,2023-12-29,0,0,9.503675276492375,75.96266410620973,93.5421801298713,71.82387005540551,51.925328212419444,10.686731712090808,2.5684334025924906,1.9545017408279932,76.9042569970654,78.3455667296917,76.79170227050781,72.34333442687988,76.46372425112078,74.20266563415528,77.92663549510985,75.79080111693185,76.85871830602085,71.13481343836241,80.66219982075931,152281100.0,64.55462777196435
ABT,2023-12-29,0,0,5.324352318269099,75.55122502953353,89.87721296979068,57.2563946932389,51.10245005906706,8.19126741091973,2.2404267968616858,2.288073937210484,103.07191988699549,104.74046074986542,103.18849182128906,97.50033721923828,103.02313713293562,99.72540578842163,104.82711396424004,102.03191634930121,103.42951515677063,97.17760806968741,107.12587922823809,1598552803.0,67.95994998698917
ABBV,2023-12-29,0,0,3.4202257053877005,71.34294229831673,83.91560298230331,34.93416004797493,42.685884596633464,9.30320594269247,2.040094355152509,2.855240682079568,141.02368302689845,143.25190143070162,141.16903839111328,135.28088775634765,141.2982381765993,134.76327045440672,143.04637011367595,136.8103395000552,139.92835480686557,135.9714352759616,148.63558318024533,1464768100.0,72.54662937171366
ACN,2023-12-29,0,0,8.207482739170747,70.94295616434927,80.86464930558537,63.90935261029673,41.88591232869853,7.456555413148251,2.005078922757278,6.629876729553814,333.4112122223121,338.2612566967092,333.3029159545898,316.4089624023438,333.09904199883,324.956390838623,333.50085389383605,332.51596244153154,333.0084081676838,312.367148935483,345.9885783200907,732380700.0,61.71216058874312
AYI,2023-12-29,0,0,2.7711433217068024,83.22778400994433,84.59639817185291,58.85027347941807,66.45556801988866,18.921845608095502,3.523454355884896,6.814231268474458,196.10749121354417,201.24263495176638,195.25895462036132,180.6903106689453,195.93473324689657,184.92023735046388,202.78029404957834,191.56199616004685,197.17114510481258,181.56309016004815,212.7601834480832,53007200.0,84.54517585038015
ADBE,2023-12-29,0,1,18.382714823810378,43.96107115881687,33.03997588842918,-43.4698100586518,-12.07785768236625,-4.708020784835439,0.11172553269078553,0.6691420186099322,600.2767506223054,598.9160962884655,603.568002319336,587.1378015136719,601.321567884872,607.6148754882813,599.6650085449219,606.0450134277344,602.8550109863281,570.4050140380859,628.8621420207326,243173400.0,37.81950687035795
AAP,2023-12-29,0,1,0.019023834898979925,63.538104947551965,50.39605579466723,39.54821730456253,27.076209895103926,19.9939084567283,3.177555742955733,1.7842489551307281,56.8155284175462,58.217103216635124,56.62122287750244,53.1526594543457,56.41771483351493,53.19867913246155,58.7231788103227,55.80886519821494,57.26602200426882,54.62297441416128,62.65167087505867,-24934200.0,54.05407375733301
AMD,2023-12-29,0,0,17.02078217146737,78.84558711157302,84.03509253316611,96.27958754421417,57.69117422314606,28.006142614083068,5.403471449350733,7.224436374099298,136.53226340884805,142.13491668779037,134.97449989318847,121.11019989013671,135.19474550277153,125.58922485351562,143.20999908447266,133.71000289916992,138.4600009918213,122.08500289916992,154.4962740844732,5809451500.0,89.00804182053943
AES,2023-12-29,0,1,1.2146438996906275,60.44627694959717,58.40344669407719,34.56662651488941,20.892553899194354,11.800903112686093,3.4758917916472676,0.5776070105654156,16.86855105155845,17.265004339677525,16.9623664855957,15.399429416656494,16.957675308640738,16.031628129482268,17.125705696169472,16.68229110688887,16.903998401529172,15.131143910442411,18.072106464225374,592851400.0,54.548722058423635
AET,2018-11-29,0,0,6.6732178025499485,60.093079487716665,93.16766654345882,71.19468770768938,20.18615897543333,4.24893661570797,1.22490855688062,2.5279322853412793,207.294984354692,209.39296477434445,207.3040008544922,203.2953466796875,208.5585029490607,202.2349729156494,208.52999877929688,203.81500244140625,206.17250061035156,203.81500244140625,215.72122473683666,38385857.0,66.87335853031504
AMG,2023-12-29,0,0,0.5756543707531189,71.66085185840568,71.70556930419885,56.31821703011821,43.321703716811356,19.93110265496637,3.3992038813387775,4.913530643072079,146.46484345807056,150.2170816468745,145.66205596923828,135.73737915039064,146.1024496742266,138.05147163391115,151.53296285485465,143.79637838943853,147.6646706221466,138.23437861177158,159.52861019845597,5675400.0,65.24499042106578
AFL,2023-12-29,0,0,3.03220205319768,49.75651069235656,54.175712652877365,21.13841901499185,-0.4869786152868939,-2.200218080604021,0.21191781408391566,0.16594889408409585,78.42752025792369,78.47455101102702,78.66773910522461,77.54048950195312,78.55785152639704,78.63595735549927,78.09398073152428,78.8363142197982,78.46514747566124,76.71388403150455,80.54197599632859,511397600.0,54.910141113100345
A,2023-12-29,0,0,4.211429218347854,81.55930137143065,86.13157047677623,39.97842371864337,63.11860274286129,16.515983955958692,3.9880632005696137,5.181744056896719,132.09449624519172,135.79682880473428,132.2461368560791,119.03767517089844,132.13251401979502,124.1759109687805,136.75775837022132,130.1780389050399,133.4678986376306,117.05795465494843,142.44151315701714,376889178.0,78.8109968883628
APD,2023-12-29,0,0,3.5035942761672003,75.65630377392412,92.2665541950611,98.71182108736869,51.31260754784824,6.239803619503554,0.30974941895975355,0.7931812480889562,256.06218251522375,257.27356029504284,254.11232757568354,256.79553649902346,253.55465861765674,253.71242561340333,256.73294837189974,253.47322872007342,255.10308854598657,258.1114156892214,262.95116301560904,231215932.0,62.444002815842886
AKAM,2023-12-29,0,0,1.5154091475712215,74.14213681119195,65.01544184947888,22.211807436041052,48.284273622383886,6.758095571448486,1.5836898311616259,1.8473915974429929,117.4760151647836,118.69971288223064,117.54100074768067,112.38740020751953,117.658139077231,114.99432558059691,119.13500213623047,116.7750015258789,117.95500183105469,110.875,121.73685688179637,255359400.0,70.31319426717442
ALK,2023-12-29,0,1,2.065568880870586,72.1227571579236,65.43406585319184,41.53247443869947,44.24551431584719,19.48617272236401,2.8058272218217146,1.0728912225317302,38.65704293422961,39.46641435292479,38.30400009155274,35.89479999542236,37.489671619227494,37.03587513923645,39.614999771118164,36.61000061035156,38.11250019073486,35.98500061035156,42.48059298051794,140636100.0,39.93303415719006
ALB,2023-12-29,0,1,2.1079774036212693,66.56168441573843,72.65719333935783,48.871357722861774,33.12336883147685,38.71065113154285,3.917706421124963,5.2483095201128265,135.5129972248962,140.30279003884908,132.3491024017334,126.127138671875,130.54622528357345,123.03038812637328,142.4424785007899,127.9863818188685,135.2144301598292,136.6391829784405,156.94272675902923,157576800.0,69.95628397655872
ARE,2023-12-29,0,1,1.6064825530778166,61.601997793016906,61.54299909769227,22.8491606564088,23.203995586033805,16.174796538409534,4.535004284963949,4.900827744255551,110.13026970153135,113.55789017572602,111.3178165435791,97.65223068237304,111.14775175170777,101.63574245452881,114.6972718820919,105.93248607841528,110.31487898025358,100.4772773296425,120.38676153825874,62075300.0,47.017684736481414
ALGN,2023-12-29,0,1,13.02251725496428,80.47820948610688,92.43913559531654,82.70583743305413,60.956418972213754,48.77259279643789,5.997317694842639,14.880381471820385,252.7842673882853,266.10164746375335,246.3919990539551,225.68600006103514,246.55565136263505,222.50987400054933,266.3000030517578,245.31500244140625,255.80750274658203,227.6699981689453,297.54147318245003,61510500.0,82.50222586325822
ALLE,2023-12-29,0,0,1.6463956230802537,89.99372975426975,91.68248376473858,93.25314547090352,79.98745950853949,33.670406931626886,5.12818785744493,5.816166740360998,115.48257695824441,120.36247053502379,113.46050453186035,104.87789978027344,114.22288773983315,105.8058027458191,119.97775525497904,113.06760112415805,116.52267818956855,109.53589813570136,130.0461108890063,76014700.0,86.14070855827387
LNT,2023-12-29,0,1,3.330541462293534,49.4936881652711,35.11473476908738,-9.322922901448074,-1.0126236694577953,-2.3890477687225395,0.4547676586698696,0.2159583131292706,47.601673693175414,47.710243235335454,47.94399890899658,46.8104817199707,47.935186675920754,47.23512005805969,47.370596234929295,47.94960232670485,47.66009928081707,47.335999063172565,49.220808468141854,262204200.0,50.07883635406261
ALL,2023-12-29,0,0,4.887007298977515,51.77606174305471,53.69701287077722,15.959915161152477,3.552123486109437,-2.137695219245225,1.0573319191384651,1.393529508752863,132.58413045429344,133.2530053866971,133.70403213500975,128.2433592224121,133.90852225879146,131.46696018218992,131.87878679228228,133.9541932695388,132.91649003091055,127.71726928673954,138.2440195434536,402588100.0,45.501939724957616
GOOGL,2023-12-29,0,0,8.397802391592984,66.13997964208934,76.98240460115679,77.15559900214065,32.279959284178695,10.364169635461232,1.4071314224973397,1.9051275216458237,136.0194752277216,137.72771104666896,134.55782012939454,132.5937612915039,134.1058885633987,133.39825756072997,136.5234462797803,134.27543425841546,135.39944026909788,130.45927931061038,142.67235367683682,5701548604.0,63.09132287029492
GOOG,2023-12-29,0,0,8.526287294413748,63.74110454340431,76.60057409568134,73.4300906329897,27.482209086808627,9.943473337285214,1.347063201415904,1.8416168278760097,137.32522554002855,138.97026260331484,135.88831329345703,133.96900833129882,135.29306712957433,134.8564999771118,137.82380417184203,135.65505403924044,136.73942910554123,131.7146233335172,143.90768533885696,3773688691.0,63.060598770729584
MO,2023-12-29,0,1,2.5245142533613514,49.908001064706774,16.934938233666095,-57.02867243380659,-0.18399787058644151,-1.9326289357433668,-0.10965642626097631,-0.03818259696145532,34.81793697680305,34.756141558888245,34.98885612487793,34.61656997680664,34.986573926992634,34.83437726020813,35.0168129311275,35.13173117791244,35.074272054519966,34.628053627708546,35.885753132684314,2270462600.0,47.7091796419147
AMZN,2023-12-29,0,0,15.882222493489584,62.41757541561274,69.22434736572845,56.168054367543434,24.835150831225473,8.766937765790844,1.8670267136634517,2.7820320006179884,150.21335011208862,152.15364487484828,149.82399978637696,143.04560028076173,149.5530524139369,146.83867515563966,152.84000396728516,149.22000122070312,151.03000259399414,136.9900016784668,156.66143636381412,13816421800.0,62.133062850698515
AEE,2023-12-29,1,3,3.072724270823829,34.902369263192654,14.772669629890233,-71.81156560309861,-30.195261473614693,-15.349243531008943,-1.7912705826083575,-1.2518342289661888,69.4708711347926,68.37058963932537,70.3745777130127,71.12371322631836,69.92663568489492,71.76613500595093,67.51227211977039,71.72444244801125,69.61835728389082,71.72444244801125,76.47311446448205,293562200.0,34.92850388720582
AAL,2023-12-29,0,2,0.4559952413522127,49.61831227486758,12.264156884761121,-8.962849991770646,-0.7633754502648435,8.552595208550661,2.746424952695198,0.3735808739704485,13.76759949432558,14.005228392757623,13.928999996185302,12.632599983215332,13.868767520991529,13.036975054740903,14.069999694824219,13.309999942779541,13.68999981880188,12.764999866485596,14.787171766232147,1866422900.0,41.8161877740378
AEP,2023-12-29,0,0,2.6975714953708034,57.424743223414936,33.77834801366023,3.080902514686637,14.849486446829872,1.6551688726938456,0.8873502517145718,0.6610858411801246,74.82252377552196,75.2076574602922,75.13724632263184,72.7545555114746,75.40958595926612,73.84282835006714,75.38050961303227,75.28302261057286,75.33176611180257,72.37176852635551,77.27949285828224,656704600.0,40.03138920465836
AXP,2023-12-29,0,0,4.268432035746552,81.4015286115942,95.32388184245359,68.49880933969229,62.80305722318839,18.68471193836223,3.7869778018424975,6.510283056121352,174.48514373154933,179.4593178617811,173.79400482177735,159.8070455932617,172.90755263360668,164.75928470611572,179.89605325592495,171.26802685416322,175.5820400550441,160.5671366703672,188.3985008142535,148121900.0,86.30322109241122
AIG,2023-12-29,0,0,0.7931588227487313,68.39415335546903,90.4823238513744,74.97317434259294,36.788306710938045,5.079120151960722,1.3991401852537808,0.8852323215606503,63.64488648213581,64.28383853377086,63.65413856506348,61.49435600280762,63.54228511788888,62.4718970489502,64.13223598396137,63.3716020908355,63.75191903739844,60.58290197338391,65.34938820448912,1273512800.0,58.530525357093566
AMT,2023-12-29,0,0,4.342683197885641,78.5936059788599,85.06775628158339,53.19184770922536,57.18721195771978,7.12048024698993,2.7592070946768468,5.333124138587721,195.65125043817545,199.3187727805261,196.40557479858398,181.70035278320313,195.9117560141688,189.75907764434814,199.01216887930394,193.04625358936946,196.02921123433669,174.8981890708829,203.72681839536963,188808100.0,66.6304183892498
AWK,2023-12-29,0,1,5.91964655554071,51.9950514370421,28.98191288266128,0.5997793811503477,3.990102874084205,-0.2483483197825074,0.6830240437553369,0.8549381129360398,125.61429661822882,126.07098969985326,126.1650260925293,121.74641082763672,126.22168962082785,125.20858356475829,126.06291212055888,127.48953405734709,126.77622308895297,119.77195009731733,128.41995376910282,196897800.0,51.37153086179839
AMP,2023-12-29,0,0,7.854429605423415,72.12165088732323,84.13003964568271,55.272647261289954,44.243301774646454,11.958597727154084,2.518378262016548,8.98152319674466,360.35459782648104,366.8553303333923,359.89944305419925,338.0685290527344,359.5547385678411,346.45357101440436,368.14089433715503,355.1234686910267,361.63218151409086,335.61959543531725,381.9144620683896,152321300.0,77.0969820873528
AME,2023-12-29,0,0,5.859283304674609,77.74594120715102,92.01515846938926,56.386951886523384,55.49188241430204,9.208296287223256,1.986580813111434,3.1366541932143264,159.1657607970737,161.48175332195413,159.018074798584,151.08472198486328,158.44367049872275,154.494140586853,161.50804646627213,156.8028125841698,159.15542952522097,149.1453571203312,166.08376460734104,304879250.0,67.71423985525199
AMGN,2023-12-29,0,0,6.241285077480884,74.13186082582345,94.5220726697137,104.6719169248144,48.2637216516469,9.06334602935672,1.716940502708704,4.468969858431933,261.82172562321597,265.717674442683,260.6186492919922,254.71778442382814,259.81245221845137,254.2680939102173,264.81321789611565,258.8484934319405,261.83085566402804,252.31123252414577,272.37246269484893,376729400.0,50.35287684698653
APH,2023-12-29,0,0,7.411984365130086,79.39633525517961,90.04298003851532,48.62747370959832,58.79267051035921,13.512742577221461,2.928496367187606,1.3717635182915089,47.409725433632644,48.402247520308315,47.3636137008667,44.06494689941406,47.062619726005984,45.29350291252136,48.462089734986904,46.543525599101415,47.50280766704416,43.855658081179755,50.45585987426466,713402000.0,75.29112569943815
ADI,2023-12-29,0,0,6.169355233707138,68.53656315843256,75.53744564880316,57.87827445572065,37.073126316865114,14.30970810009272,2.842016684627401,5.245158848279203,186.68717264431336,190.55273847035977,186.13188858032225,173.61976501464844,186.425572075393,178.58047340393065,190.3437916339976,184.96040771969467,187.65209967684615,172.69088679749242,200.04979084737522,283415400.0,75.46529769081252
ANDV,2018-10-01,0,1,8.392454987746238,46.622884740357335,32.89473128051229,-35.27244245757539,-6.754230519285328,0.5124560144399902,0.7655631775351088,1.1761581517114053,154.28344367448932,154.84131108960412,154.92449874877929,151.0792608642578,154.6231232751357,153.08579502105712,155.97000122070312,155.97000122070312,155.97000122070312,149.58098549455084,158.76083269123512,217160605.0,26.14772783132193
AON,2023-12-29,1,3,6.253139359857435,27.557643061660684,11.826769174117546,-105.70104858963447,-44.88471387667863,-20.117639632869977,-3.152685454497455,-9.621838249220843,302.0524346648301,293.4080780164042,306.9045944213867,314.08591552734373,304.17924492943825,318.90212677001955,296.2972572898318,306.4945141062809,301.39588569805636,306.4945141062809,340.04596196711907,330542400.0,27.955930235673037
APA,2023-12-29,0,2,-0.6273243412275533,60.0284127675442,52.216774394564005,30.151042241166635,20.056825535088386,8.632940109782504,-0.34738140182728106,-0.1152979216730401,33.063322902229814,33.124925510743275,32.57313404083252,34.1733479309082,32.526451165955905,32.9344610786438,33.584575429879266,32.78111582878822,33.18284562933374,35.31012115738893,34.31846498970839,594116400.0,48.18879816699555
